approach,approach_name,dgp,dgp_name,n,reps,mean_theta,bias,sd_theta,rmse,mean_se,coverage,coverage_lower,coverage_upper,mean_ci_width,median_ci_width,n_errors
4,doubletree_averaged,4,continuous,1000,500,0.19098256903153127,0.04098256903153128,0.0324938835724523,0.04098256903153128,0.03131054242398147,0.7371937639198218,0.7371937639198218,1,0.12273507097483424,0.12270732129767696,51
4,doubletree_averaged,4,continuous,2000,500,0.19077320867335468,0.040773208673354676,0.02120926536151519,0.040773208673354676,0.022130347432132165,0.5472837022132797,0.5472837022132797,1,0.086749367864675,0.08674507432824607,3
5,msplit,1,simple,500,500,0.1504622495921752,4.622495921751888e-4,0.045393071765019735,4.622495921751888e-4,0.04556087017178423,0.948,0.966,0.982,0.17859532928200458,0.1787332937052925,0
5,msplit,1,simple,1000,500,0.15027944897454845,2.7944897454844396e-4,0.031158718535699396,2.7944897454844396e-4,0.031854011549506706,0.96,0.978,0.982,0.1248654308003121,0.12496309200682224,0
5,msplit,1,simple,2000,500,0.14894642911229306,-0.0010535708877069286,0.022906804165638037,0.0010535708877069286,0.022314429605607394,0.94,0.974,0.966,0.08747095672508962,0.08747400393784718,0
5,msplit,2,moderate,500,500,0.15269857330692962,0.0026985733069296402,0.04107509416726215,0.0026985733069296402,0.04421014783992709,0.946,0.978,0.968,0.1733005950348967,0.1718465061206098,0
5,msplit,2,moderate,1000,500,0.15020360587306691,2.036058730669069e-4,0.029542153292312533,2.036058730669069e-4,0.03072046012235819,0.968,0.984,0.984,0.12042199085664196,0.12035182726643766,0
5,msplit,2,moderate,2000,500,0.14900258378237025,-9.974162176297468e-4,0.020848386749589373,9.974162176297468e-4,0.02138562007093208,0.96,0.974,0.986,0.08383009025216757,0.08381722787878028,0
5,msplit,3,complex,500,445,0.13033178810663545,-0.019668211893364533,0.04175319239662179,0.019668211893364533,0.04176813413995303,0.9239904988123515,0.9881235154394299,0.9358669833729216,0.16372807723149155,0.16131273356714382,24
5,msplit,3,complex,1000,295,0.1301989034671076,-0.01980109653289239,0.03025618559683293,0.01980109653289239,0.030265313304768587,0.8983050847457628,0.9932203389830508,0.9050847457627119,0.11863784811633467,0.11784737594052803,0
5,msplit,3,complex,2000,125,0.12754784991284399,-0.022452150087156,0.01841084785644787,0.022452150087156,0.020880705270291386,0.856,1,0.856,0.08185086060313361,0.08156846900961595,0
5,msplit,4,continuous,500,500,0.1542618752061358,0.0042618752061357994,0.04487006960585865,0.0042618752061357994,0.04684092108366676,0.96,0.968,0.992,0.18361303665333942,0.18307112196391576,0
5,msplit,4,continuous,1000,500,0.15840572595977886,0.008405725959778865,0.030066015821445576,0.008405725959778865,0.03256647590161503,0.97,0.974,0.996,0.12765823974111404,0.12770983044003822,0
5,msplit,4,continuous,2000,500,0.15911231728984446,0.009112317289844468,0.02291237064869437,0.009112317289844468,0.02279307200219698,0.932,0.94,0.992,0.08934720044266867,0.0893540941327426,0
6,msplit_averaged,1,simple,500,500,0.15250945322355464,0.0025094532235546475,0.04224733497693739,0.0025094532235546475,0.04473055424471283,0.976,0.982,0.994,0.17534055065630474,0.17543309633100174,0
6,msplit_averaged,1,simple,1000,500,0.1945463626579263,0.044546362657926296,0.03500684233267524,0.044546362657926296,0.03453329174491063,0.746,0.746,1,0.13536801617527836,0.1350681597498373,0
6,msplit_averaged,2,moderate,500,500,0.1673231342397225,0.01732313423972251,0.04738711542019154,0.01732313423972251,0.04853173248625409,0.93,0.94,0.99,0.19024089556078105,0.19029182228415714,0
6,msplit_averaged,2,moderate,1000,500,0.16433302308836872,0.014333023088368733,0.03463153288392086,0.014333023088368733,0.03424145067446816,0.93,0.944,0.986,0.13422402020072466,0.13424734709789526,0
6,msplit_averaged,4,continuous,500,500,0.25556062945338254,0.10556062945338252,0.05500719416262587,0.10556062945338252,0.05256858832021054,0.508,0.508,1,0.20606507965145116,0.20545463331231398,0
