"n","lambda","rep","mse_e","mse_m0","mse_m1","num_leaves_e","num_leaves_m0","num_leaves_m1"
1600,0.1,9,0.00145923315567335,0.0042888370232254,7.93504871708965e-05,0,0,0
3200,0.1,9,0.000259744848790263,0.000432331237615259,0.000991433899021463,0,0,0
400,0.2,9,0.00233660189061834,0.0136649519067932,0.00364054100033752,0,0,0
800,0.2,9,0.0023985324487692,0.00926338711260955,0.00580619841385115,0,0,0
1600,0.2,9,0.00010471057425246,0.0010000504685327,0.00160798824610211,0,0,0
3200,0.2,9,0.000166395241674777,0.00124414717673348,0.000523057876622361,0,0,0
400,0.5,9,0.00482027760083998,0.00570732914217866,0.0063335263710885,0,0,0
800,0.5,9,0.00191999100708593,0.00110123464037159,0.00222107645904817,0,0,0
1600,0.5,9,0.000855705760795697,0.00133059402505395,0.000230724114861926,0,0,0
3200,0.5,9,0.000373115917865162,0.000104806222415704,0.00117373751579493,0,0,0
400,0.01,10,0.000708587520176047,0.0107679987944697,0.00268055527709014,0,0,0
800,0.01,10,0.000386391820805827,0.00521221914043349,0.00279594628787819,0,0,0
1600,0.01,10,0.00067376882063749,0.000605673762511722,0.00238333265565364,0,0,0
3200,0.01,10,0.000177996605697069,0.00146970210488635,0.000689745974170065,0,0,0
400,0.05,10,0.00187064227879765,0.01753640073995,0.00252771384865833,0,0,0
800,0.05,10,0.000737302086417982,0.000183570348272123,0.00261862497535969,0,0,0
1600,0.05,10,0.00139982092038685,0.0014071982828421,0.000693338177598463,0,0,0
3200,0.05,10,0.000374885326495529,0.000964867871480457,0.000450981123407972,0,0,0
400,0.1,10,0.000369278255327839,0.00762747175584655,0.00416832503372853,0,0,0
800,0.1,10,0.000497440501908061,0.00409763295165472,0.00139728088641118,0,0,0
1600,0.1,10,0.000244130391056527,0.000930716909271193,0.000653441478476555,0,0,0
3200,0.1,10,0.000269473068560907,0.000913404956168853,0.000737840190872066,0,0,0
400,0.2,10,0.00238492074776825,0.00308371554136643,0.000657891867852077,0,0,0
800,0.2,10,0.0019868550702886,0.000879561050349181,0.00160710983081654,0,0,0
1600,0.2,10,0.00207604249243932,0.000550417166578202,0.000209156900657218,0,0,0
3200,0.2,10,0.000174021916456495,0.000320840787510363,0.00115323811880025,0,0,0
400,0.5,10,0.00626621850930864,0.0119053353585661,0.00398584432614849,0,0,0
800,0.5,10,0.000512082661380545,0.00438762124594011,0.000224700321105224,0,0,0
1600,0.5,10,0.00126416766339238,0.000762008574473441,0.00334191817656507,0,0,0
3200,0.5,10,0.00101517751706756,0.000871824032896875,0.000113967267313288,0,0,0
400,0.01,11,0.00636178428173645,0.0102634235292555,0.00266307360568753,0,0,0
800,0.01,11,0.00292504193294768,0.00840219765146395,0.000647797565746208,0,0,0
1600,0.01,11,0.000649452848552265,0.00167644676560684,0.00236518851919512,0,0,0
3200,0.01,11,0.000481181998489598,0.000464412742692563,0.000888475437126038,0,0,0
400,0.05,11,0.00391652115045879,0.0112507771922856,0.000632044155464292,0,0,0
800,0.05,11,0.00104179934443099,0.00126188373787541,0.00177582080770623,0,0,0
1600,0.05,11,0.000429499882521942,0.0007778826470268,0.0018566241623985,0,0,0
3200,0.05,11,0.000465036471779072,0.000403988641360582,0.0013959108477539,0,0,0
400,0.1,11,0.00217111838110378,0.00188010406238394,0.0108486351227831,0,0,0
800,0.1,11,0.000815745445420822,0.00550988386340086,0.00258766829928851,0,0,0
1600,0.1,11,0.00176433119400917,0.00129492366778296,0.000970393924513729,0,0,0
3200,0.1,11,6.74371317295148e-06,0.00161522498825896,0.000235263344810365,0,0,0
400,0.2,11,0.00246399512978454,0.0143131284544211,0.0060378989861381,0,0,0
800,0.2,11,0.00196972486074664,0.00536403709476373,0.00185844183218164,0,0,0
1600,0.2,11,0.000250734604714766,0.000786935214402828,0.00091954421737064,0,0,0
3200,0.2,11,0.000387983646098578,0.00112678444515739,0.000610707167662056,0,0,0
400,0.5,11,0.00144934516035729,0.00918213950695914,0.00241940369952056,0,0,0
800,0.5,11,0.00256313806235631,0.000989354741008744,0.0038988163821857,0,0,0
1600,0.5,11,0.000450080209905907,0.00300682422426992,0.000248936785054545,0,0,0
3200,0.5,11,0.000421800835829031,0.000838412308202176,0.00132618536630542,0,0,0
400,0.01,12,0.00486003851813108,0.00706410902800519,0.00167700063527104,0,0,0
800,0.01,12,0.000801685855587624,0.00255245036382248,0.00398530916117017,0,0,0
