"n","lambda","rep","theta","sigma","true_tau","bias","ci_lower","ci_upper","ci_width","coverage","mean_score","sd_score"
800,0.1,15,0.128826565286118,0.643399829924597,0.15,-0.0211734347138824,0.084242051042196,0.173411079530039,0.0891690284878431,1,5.30426397249428e-16,0.643802332203518
1600,0.1,15,0.180155414741967,0.679600905421115,0.15,0.0301554147419667,0.146855582279812,0.213455247204122,0.0665996649243099,1,3.20292403710454e-15,0.67981338030685
3200,0.1,15,0.115619109049461,0.631411414967312,0.15,-0.0343808909505388,0.0937422216809303,0.137495996417992,0.0437537747370619,0,-8.21773205039733e-16,0.631510096129899
800,0.01,16,0.188722748840712,0.694346504316444,0.15,0.0387227488407118,0.140607875052912,0.236837622628511,0.096229747575599,1,-2.07299455379228e-17,0.694780878149557
1600,0.01,16,0.154166559051769,0.655809713957078,0.15,0.00416655905176866,0.122032473550084,0.186300644553453,0.0642681710033694,1,1.66797131662122e-15,0.656014750608627
3200,0.01,16,0.149128915217126,0.65270393606712,0.15,-0.00087108478287351,0.126514293188039,0.171743537246214,0.0452292440581755,1,-8.29601144725078e-16,0.65280594496609
800,0.05,16,0.149193413786119,0.66415326191142,0.15,-0.000806586213880717,0.103170786504252,0.195216041067987,0.0920452545637351,1,-3.31956684362922e-16,0.664568747258227
1600,0.05,16,0.14451400904376,0.666633722042025,0.15,-0.00548599095624003,0.111849556891704,0.177178461195816,0.0653289043041127,1,-2.73947531326257e-16,0.666842142782475
3200,0.05,16,0.185215058933745,0.673562095657809,0.15,0.0352150589337448,0.161877751826016,0.208552366041473,0.046674614215457,0,7.45070671825943e-15,0.673667364408261
800,0.1,16,0.123617718955601,0.659872154561982,0.15,-0.0263822810443989,0.0778917518261355,0.169343686085067,0.0914519342589312,1,-9.12037372707841e-16,0.660284961705619
1600,0.1,16,0.151173982083104,0.652187933714236,0.15,0.00117398208310426,0.119217360552317,0.183130603613892,0.0639132430615749,1,-9.77030956139657e-16,0.652391838028649
3200,0.1,16,0.170903137087171,0.663942753699408,0.15,0.0209031370871707,0.147899117049639,0.193907157124702,0.0460080400750633,1,-6.52419090974021e-15,0.664046519075319
800,0.01,17,0.151234837487558,0.666903860730481,0.15,0.00123483748755773,0.105021606934561,0.197448068040555,0.0924264611059938,1,-1.66873459495065e-15,0.66732106681491
1600,0.01,17,0.142099468458469,0.664486655152134,0.15,-0.00790053154153145,0.109540220650827,0.17465871626611,0.0651184956152834,1,2.18441584265427e-15,0.664694404619507
3200,0.01,17,0.165174188929186,0.655143794676627,0.15,0.0151741889291864,0.142475031665654,0.187873346192719,0.0453983145270648,1,3.8623444720276e-15,0.655246184892878
800,0.05,17,0.0966289904781395,0.638500650809003,0.15,-0.0533710095218605,0.0523839657878418,0.140874015168437,0.0884900493805955,0,-7.97916420436362e-16,0.63890008822737
1600,0.05,17,0.13000583317729,0.643594432671412,0.15,-0.0199941668227102,0.0984702854601284,0.161541380894451,0.0630710954343228,1,8.68576044421587e-16,0.643795650257279
3200,0.05,17,0.141994127982101,0.656541423289225,0.15,-0.00800587201789871,0.119246546247588,0.164741709716614,0.0454951634690259,1,4.76899986515122e-15,0.656644031936143
800,0.1,17,0.156386618196554,0.633452055951951,0.15,0.00638661819655417,0.112491436852255,0.200281799540853,0.0877903626885975,1,1.15761566998884e-15,0.633848335037287
1600,0.1,17,0.15840756502464,0.668785797241929,0.15,0.00840756502464013,0.125637663125488,0.191177466923792,0.0655398037983044,1,-8.07687250414801e-16,0.668994890821287
3200,0.1,17,0.142319869176653,0.639166417641414,0.15,-0.00768013082334731,0.120174289611525,0.164465448741781,0.0442911591302559,1,-1.46185147320566e-16,0.639266310807238
